epi_mcode,parid,loglik,rho,tau,beta1,beta2,beta3,beta4,beta5,beta6,nu,gamma,sigma,theta0,alpha,mu,sig_sq,delta,S_0,E_0,I_0,A_0,R_0,incid_0,pop_0
final,271,-1603.3129132525648,0.2533438090578278,246.0825448899922,5.155178887372278,3.228810931723252,3.8257978081923256,3.1988411279004696,4.842679626911166,2.6317850747708453,0.9801722192616033,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0927518107132411,1.4331703604564272e-4,0.8445925348767035,4.503097359023461e-5,6.287181646027042e-5,0,0.15529956233324604,1889,11658642
final,356,-1603.505281050349,0.291740193635597,236.62950503924012,5.834803539252446,3.1327108329559326,4.244053022971634,2.875326704351002,5.411297984335561,2.2728678013811514,0.9718557455107637,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09342212016693986,1.4331703604564272e-4,0.8560719366270121,3.997051102641442e-5,5.429470703802645e-5,0,0.14383379815492348,1693,11658595
final,63,-1603.5246271443718,0.2551114919998525,348.07450809528353,6.823008230553682,2.178536463811419,5.5216733378230085,2.034909879463488,6.353037261346854,1.6176407753877822,0.9706235556920741,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10712199660793367,1.4331703604564272e-4,0.8426106004287325,4.031213946902394e-5,4.743109175823455e-5,0,0.15730165634004034,1601,11659019
final,25,-1603.6383868797702,0.2829683478098071,233.58134448155485,5.559102493731495,3.1821596308987816,4.311129357616695,2.9362893927153086,5.236043989025506,2.4085087950325796,0.9731965830725222,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08432527317881261,1.4331703604564272e-4,0.8574929074619778,6.012660725025672e-5,7.762422191366952e-5,0,0.14236934170885818,2370,11658732
final,243,-1603.72116400299,0.3568175207441814,245.98456483964057,6.260325780246445,1.914301271392378,4.502000224481659,2.296527856480778,5.5953274605274554,1.203999860340925,0.9785621250056606,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08878925629366995,1.4331703604564272e-4,0.8886655048792157,3.310734000020242e-5,4.279938512979535e-5,0,0.11125858839565439,1426,11659046
final,10,-1603.984411505454,0.21903364797102118,536.0832094500805,6.886461695635868,3.2147164098080543,5.277927124396962,3.2108898568011384,5.942147753069743,2.688863935572395,0.9628332928971722,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.102822399475195,1.4331703604564272e-4,0.8077881514663359,6.552766322349102e-5,9.331688165858407e-5,0,0.192053003988782,3076,11659198
final,80,-1604.139032913308,0.5717651963312028,291.8750539292713,5.1924294965289555,2.2949395159810178,3.9160943813844296,2.306515269738122,4.83974223706986,1.693886605947467,0.9820390659514476,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09012535391704268,1.4331703604564272e-4,0.92345045108485,1.663965867085323e-5,2.03278304381042e-5,0,0.076512581426041,722,11658893
final,134,-1604.1415441142026,0.3102643482731075,304.8641273364273,6.6534466260278915,2.275351366503983,5.565136517919686,1.9214231025379824,6.489987517909276,1.4114911106262702,0.9665339601929248,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09610614814891913,1.4331703604564272e-4,0.8669312879987896,4.494411319603764e-5,6.673000012694139e-5,0,0.13295703788788749,2286,11658924
final,6,-1604.4540859344622,0.2652326033790188,185.1051871773798,6.006340652781223,2.623144859135546,4.543532704125789,2.7130109668084272,5.361700822799834,2.180310294411718,0.9753349694720818,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09057084067416286,1.4331703604564272e-4,0.8498140429182135,4.142767487046132e-5,5.575152932877818e-5,0,0.15008877787758723,1844,11658873
final,151,-1604.5107138077708,0.41063337354252355,198.65317265501932,5.122355821585248,2.4549410035406236,3.827161672527626,2.4461671467051924,4.680566245967321,1.8476823712120534,0.9848069777451145,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08698596236626072,1.4331703604564272e-4,0.9011507246923767,3.0706577211602625e-5,4.108505721887614e-5,0,0.09877748367319283,1292,11658740
final,207,-1604.519038524264,0.24472251384298832,310.63447789122097,5.659788653777607,3.78226365424679,4.389840816529104,3.2747791939061512,5.5005698073207,2.7783372599993053,0.9672251244582809,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09893702081744032,1.4331703604564272e-4,0.8358939165627097,6.175660486889073e-5,8.242791288750554e-5,0,0.16396189891953394,2714,11658672
final,140,-1604.6070711628577,0.2560873722870687,289.6512893004944,6.399711250084173,2.574901619180901,4.963164727259465,2.352882704780435,6.028796093225431,1.6238467952510742,0.9746100044045407,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0921247645065681,1.4331703604564272e-4,0.835008658733047,5.789356452563686e-5,7.29030071804316e-5,0,0.1648605446952469,2333,11659327
final,21,-1604.6202844468917,0.2593943507353686,197.10757201088464,6.39604158769467,2.994252087445303,4.845436544362293,2.829642198580435,5.893430124504472,2.2049656081535516,0.9671978691046327,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08555550299845022,1.4331703604564272e-4,0.8410680784517163,5.403814166433359e-5,6.767633932247492e-5,0,0.15881020706729687,2331,11658432
final,40,-1604.718519154004,0.5581668539089338,222.17677847029498,4.391194753388199,3.068157795425708,3.130346741176488,3.057053305850761,4.103015284265562,2.3177256139267666,0.9832539004554102,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08511039491090647,1.4331703604564272e-4,0.9227944724069369,2.4959958993617884e-5,3.310839921490207e-5,0,0.07714745923485455,1040,11658673
final,269,-1604.7239304559819,0.23480302930893804,256.76135489688363,5.6830412517528375,4.045675906320491,4.392470433362159,3.6482276010862833,5.541020886609885,3.2207818616016928,0.9618872647393542,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10340617297986866,1.4331703604564272e-4,0.8330068040234038,6.24411183684616e-5,7.74510025916495e-5,0,0.16685330385563613,2691,11658984
final,295,-1604.7925889413023,0.4728890117363096,247.20692482953893,5.113475271153352,2.3701118995253516,3.723015304090176,2.530413903531949,4.714835800866606,1.7158631664546755,0.9842432332505981,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08640799416134763,1.4331703604564272e-4,0.9132974457547757,1.2694458954439758e-5,1.646848729224617e-5,0,0.08667339129897766,530,11658630
final,160,-1604.9115266682466,0.2400836085262128,214.70853694558346,6.421691844372463,2.61575285491347,4.831123376496449,2.5634067670721774,5.804070725529061,1.8144528346999698,0.9754733984338729,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08822576527392505,1.4331703604564272e-4,0.8282969484750953,6.552919758897154e-5,7.985298816142998e-5,0,0.1715576693391544,2645,11658925
final,304,-1605.101996766629,0.19037421677184244,406.04032423170736,6.691559477246907,3.6013322432590384,4.936155161830578,3.3932605667938205,6.125918997631934,2.6912930126977086,0.9649199543049815,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.092205547653707,1.4331703604564272e-4,0.7924257852382887,6.467031519316697e-5,8.431156476774952e-5,0,0.2074252328817504,2602,11659136
final,323,-1605.2812312727071,0.6702416776204589,286.9468148027895,4.519731788319571,2.626269843437937,3.1575512894467543,2.6148533954654667,4.204743268492967,1.8384934721403277,0.9893363242273111,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09265823244306061,1.4331703604564272e-4,0.9339393991897373,7.805337289638655e-6,8.577293724877643e-6,0,0.06604421817924822,267,11658689
final,88,-1605.3038863201305,0.4706013945778709,234.1814609504672,5.583259319768867,2.0288059789519823,4.192226229532097,1.979936374009412,5.211453264808729,1.3160725953754628,0.9844790115993356,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10012344244138364,1.4331703604564272e-4,0.9038849287409245,1.2523035738256545e-5,1.7583714563990353e-5,0,0.09608496450877324,581,11658515
final,55,-1605.3740951241014,0.21569886881642034,377.5011695736954,6.4897602149484275,3.6512588433258424,4.6718376859816475,3.7458998126822882,5.605964961593687,2.970623337154992,0.9649415436146885,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10154401857506046,1.4331703604564272e-4,0.7995392499547124,6.921800635673468e-5,9.28053071598351e-5,0,0.20029872673177107,2860,11658816
final,337,-1605.4031589342374,0.22389317012453475,529.7011789672845,7.170064927714821,2.3559735001069817,6.019952081685601,2.0101605399642044,6.873857022860476,2.0039561613414425,0.9664732665883691,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.11443544776045161,1.4331703604564272e-4,0.8134827811910545,5.31798140747926e-5,6.458774193277231e-5,0,0.1863994512529379,2196,11658559
final,254,-1605.4504418358897,0.3955577644170356,302.6156608423522,5.342667273796751,2.282913133176777,3.910859419200214,2.6851189175784413,4.535581168224244,1.9844907094369664,0.9851614171905813,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10177013461860664,1.4331703604564272e-4,0.889442187249786,2.6417883397466748e-5,3.602438645109102e-5,0,0.1104953704803655,1179,11658769
final,90,-1605.4877638797084,0.5042476215696516,264.25807239342805,4.651370716106969,2.9202486030863932,3.3457411082645403,2.743942366115872,4.500628316132536,2.0217002480088913,0.9841521732816515,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08962071028206667,1.4331703604564272e-4,0.9116572817355965,1.8783585307839806e-5,2.4444391838969608e-5,0,0.0882994902872567,750,11659116
final,239,-1605.5219855453756,0.2806216327112746,303.5540219453515,6.361765434107397,2.0711431460647334,4.90530565352069,2.1926968837312835,5.738021946693083,1.371937009574574,0.9789531943154715,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09028405057957646,1.4331703604564272e-4,0.857244588822373,5.772105771393907e-5,7.273024805560228e-5,0,0.14262495987185742,2355,11659523
final,228,-1605.5289059655624,0.19538615104095008,326.07090716434385,7.627370823317665,3.429693408147407,5.903378714424536,3.1215195418083024,6.931870331336001,2.6368702831076827,0.9552520433141528,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09402562933909596,1.4331703604564272e-4,0.7905549778419877,7.136125365254685e-5,8.937310854080988e-5,0,0.20928428779581887,2937,11658988
final,319,-1605.5438439040722,0.46084941704130816,448.23960906727814,4.777369417892412,2.8985576294552873,3.495837359097308,3.2517787490487766,4.033800088717733,2.653906857731764,0.9779793707291301,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09774092839293756,1.4331703604564272e-4,0.9116165378355149,2.984803490573296e-5,4.082662245726692e-5,0,0.08831278750712213,1297,11659059
final,16,-1605.5668262999393,0.5445864359808712,234.29393467225515,4.7547121597923825,2.4084671951085097,3.5411068030123256,2.5937146920658525,4.2488969306711395,1.9566603520227128,0.9879646468804165,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.098533735325844,1.4331703604564272e-4,0.9189518350494736,6.089913019745128e-6,8.32002201289123e-6,0,0.0810337550154937,235,11658623
final,9,-1605.5758670335808,0.5253831459401629,185.9602616480008,4.824218555355853,2.636304424039771,3.4157203138951124,2.778164437336789,4.399646123665757,1.9829413674308662,0.9838365052396276,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09004383834722547,1.4331703604564272e-4,0.9208783619130845,1.8184268223445886e-5,2.547513048284636e-5,0,0.0790779786882092,767,11658429
final,107,-1605.7608306809468,0.9100475443844309,502.7326861155629,5.279528304557567,1.620662318241954,3.9562470475989393,1.9680123399496716,4.60563178356466,1.1357824201053888,0.9888895494605644,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10505865873123174,1.4331703604564272e-4,0.9566928161287782,1.2523195789186925e-5,1.518223051154853e-5,0,0.04327947844492108,495,11658366
final,194,-1605.8512157365935,0.6064739981859315,239.71929646737377,5.305787648276233,1.9512006831812738,3.894620500901924,2.112388796687302,4.788309838525328,1.2970464148243925,0.9878234293870456,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09168418780219437,1.4331703604564272e-4,0.9287322751268291,8.491727641988762e-6,1.2008503736145725e-5,0,0.07124722464179278,398,11658405
final,123,-1605.8798652934292,0.37434313793234064,277.9957388383498,5.585285362491358,2.007153236430443,4.190993293595699,2.1523136004887222,5.055287759643571,1.4619512115788282,0.9875641592479917,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0932978539460537,1.4331703604564272e-4,0.8895090514805853,1.4666393580133572e-5,1.706790831840106e-5,0,0.11045921421751614,577,11659308
final,344,-1605.9007802357498,0.4061865102620199,265.5454998253836,4.626332597806708,2.8644145291850935,3.207968221148295,2.93378582234239,4.3048767259453635,2.1392973984829773,0.9889855348684965,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09391648636300795,1.4331703604564272e-4,0.893205090928428,8.748478665290926e-6,1.346579559265368e-5,0,0.106772694797314,408,11659170
final,69,-1605.9098032986133,0.540370767893388,296.13623172959467,5.244431208867363,2.46131705991941,3.7808099391314114,2.4185576174886005,4.848210761493451,1.7247405814743813,0.9799405358826442,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0918810008560801,1.4331703604564272e-4,0.9241800679106342,2.1100381462302753e-5,2.839116367488704e-5,0,0.07577044054422855,917,11658557
final,256,-1605.984784137581,0.8416771635153245,228.8519928075688,4.8092510971329165,2.0139106869216197,3.65775838356117,2.226267700392144,4.385838402969418,1.576451455015039,0.9896602581412007,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0845027119060443,1.4331703604564272e-4,0.9434790141861066,8.74891389095937e-6,1.080748186530275e-5,0,0.05650142941813718,356,11658590
